"date";"annee";"mois";"jour";"secteur";"horaire";"observateurs";"activites";"categorie_usage";"nombre";"commentaires";"commentaires_secteur"
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"paddle";"sports_nautiques_non_motorises";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"kayak";"sports_nautiques_non_motorises";3;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"pedalo";"sports_nautiques_non_motorises";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"multicoques";"sports_nautiques_non_motorises";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"monocoque";"sports_nautiques_non_motorises";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"voile";"sports_nautiques_non_motorises";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"jet_ski";"sports_motonautiques";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"ski_nautique";"sports_motonautiques";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"bouee_tractee";"sports_motonautiques";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"autre";"sports_motonautiques";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"peche_embarquee";"peche_de_loisir";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"peche_du_bord";"peche_de_loisir";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"chasse_sous-marine";"peche_de_loisir";0;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"plongee_sous-marine";"loisirs_sous-marins";1;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"09:00:00";"Laurent Ricquiers, Alexandre Crispi";"promenade_en_mer";"transport_de_passagers_et_promenades_en_mer";NA;"1 kayak - 1 pers 2 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"paddle";"sports_nautiques_non_motorises";3;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"kayak";"sports_nautiques_non_motorises";1;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"pedalo";"sports_nautiques_non_motorises";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"multicoques";"sports_nautiques_non_motorises";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"monocoque";"sports_nautiques_non_motorises";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"voile";"sports_nautiques_non_motorises";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"jet_ski";"sports_motonautiques";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"ski_nautique";"sports_motonautiques";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"bouee_tractee";"sports_motonautiques";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"autre";"sports_motonautiques";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"peche_embarquee";"peche_de_loisir";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"peche_du_bord";"peche_de_loisir";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"chasse_sous-marine";"peche_de_loisir";0;"1 kayak - 2 pers";NA
2021-07-28;2021;"juillet";28;"Fiume Santu";"12:00:00";"Laurent Ricquiers, Alexandre Crispi";"plongee_sous-marine";"loisirs_sous-marins";0;"1 kayak - 2 pers";NA
