"date";"annee";"mois";"jour";"secteur";"horaire";"societes";"nombre_arrivees";"nombre_de_personnes";"ponton";"chenal";"observateurs";"commentaires";"commentaires_secteur"
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"U Saleccia";1;75;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Taxi plage";1;2;1;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Quadrimarant";1;4;1;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Particuliers";2;6;0;2;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Jet ski";4;6;0;4;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Paddle";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";09:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"U Saleccia";1;179;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Mare e Stagnu";1;2;0;1;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Quadrimarant";1;9;1;0;NA;"2 pers debarques au ponton, le reste sur la plage";NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-07-29;2020;"juillet";29;"Lotu";10:00:00;"Particuliers";1;3;0;1;NA;"2 particuliers intention debarques au ponton renvoye vers le chenal, 1 seul a finalement beache";NA
