"date","annee","mois","secteur","horaire","force_vent","etat_mer","couverture_nuageuse","temperature_sol","direction_vent","direction_houle","observateurs","commentaires"
2020-07-20,2020,"juillet","Fiume Santu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova",NA
2020-07-20,2020,"juillet","Fiume Santu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Fiume Santu 9h"
2020-07-20,2020,"juillet","Fiume Santu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Fiume Santu 9h"
2020-07-20,2020,"juillet","Fiume Santu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Fiume Santu 9h"
2020-07-20,2020,"juillet","Lotu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova",NA
2020-07-20,2020,"juillet","Lotu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Lotu 9h"
2020-07-20,2020,"juillet","Lotu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Lotu 9h"
2020-07-20,2020,"juillet","Lotu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Lotu 9h"
2020-07-20,2020,"juillet","Petit Lotu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova",NA
2020-07-20,2020,"juillet","Petit Lotu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Petit Lotu 9h"
2020-07-20,2020,"juillet","Petit Lotu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Petit Lotu 9h"
2020-07-20,2020,"juillet","Petit Lotu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Petit Lotu 9h"
2020-07-20,2020,"juillet","Saleccia",09:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova",NA
2020-07-20,2020,"juillet","Saleccia",12:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Saleccia 9h"
2020-07-20,2020,"juillet","Saleccia",15:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Saleccia 9h"
2020-07-20,2020,"juillet","Saleccia",17:00:00,"F0","belle","0-10",NA,NA,NA,"Ricquiers, Casanova","Basé sur Saleccia 9h"
2020-07-29,2020,"juillet","Lotu",09:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Lotu",12:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Lotu",15:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Lotu",17:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Saleccia",09:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Saleccia",12:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Saleccia",15:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-07-29,2020,"juillet","Saleccia",17:00:00,"F2","belle","0-10",NA,NA,NA,NA,"Basé sur Lotu 9h"
2020-08-13,2020,"août","Fiume Santu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)",NA
2020-08-13,2020,"août","Fiume Santu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Fiume Santu 9h"
2020-08-13,2020,"août","Fiume Santu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Fiume Santu 9h"
2020-08-13,2020,"août","Fiume Santu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Fiume Santu 9h"
2020-08-13,2020,"août","Lotu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)",NA
2020-08-13,2020,"août","Lotu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Lotu 9h"
2020-08-13,2020,"août","Lotu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Lotu 9h"
2020-08-13,2020,"août","Lotu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Lotu 9h"
2020-08-13,2020,"août","Petit Lotu",09:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)",NA
2020-08-13,2020,"août","Petit Lotu",12:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Petit Lotu 9h"
2020-08-13,2020,"août","Petit Lotu",15:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Petit Lotu 9h"
2020-08-13,2020,"août","Petit Lotu",17:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Petit Lotu 9h"
2020-08-13,2020,"août","Saleccia",09:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)",NA
2020-08-13,2020,"août","Saleccia",12:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Saleccia 9h"
2020-08-13,2020,"août","Saleccia",15:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Saleccia 9h"
2020-08-13,2020,"août","Saleccia",17:00:00,"F0","belle","0-10",NA,NA,NA,"Laure-Hélène, Fred (CDC)","Basé sur Saleccia 9h"
2020-09-09,2020,"septembre","Fiume Santu",09:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank",NA
2020-09-09,2020,"septembre","Fiume Santu",12:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Fiume Santu 9h"
2020-09-09,2020,"septembre","Fiume Santu",15:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Fiume Santu 9h"
2020-09-09,2020,"septembre","Fiume Santu",17:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Fiume Santu 9h"
2020-09-09,2020,"septembre","Lotu",09:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank",NA
2020-09-09,2020,"septembre","Lotu",12:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Lotu 9h"
2020-09-09,2020,"septembre","Lotu",15:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Lotu 9h"
2020-09-09,2020,"septembre","Lotu",17:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Lotu 9h"
2020-09-09,2020,"septembre","Petit Lotu",09:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank",NA
2020-09-09,2020,"septembre","Petit Lotu",12:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Petit Lotu 9h"
2020-09-09,2020,"septembre","Petit Lotu",15:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Petit Lotu 9h"
2020-09-09,2020,"septembre","Petit Lotu",17:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Jean-Phi, Frank","Basé sur Petit Lotu 9h"
2020-09-09,2020,"septembre","Saleccia",09:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Sophie, Sébastien",NA
2020-09-09,2020,"septembre","Saleccia",12:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Sophie, Sébastien","Basé sur Saleccia 9h"
2020-09-09,2020,"septembre","Saleccia",15:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Sophie, Sébastien","Basé sur Saleccia 9h"
2020-09-09,2020,"septembre","Saleccia",17:00:00,"F1","peu agitee","0-10",NA,NA,NA,"Sophie, Sébastien","Basé sur Saleccia 9h"
2021-06-16,2021,"juin","Fiume Santu",09:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Fiume Santu",12:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Fiume Santu",15:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Fiume Santu",17:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Lotu",09:00:00,"F1","ridee","0-10",26,"E",NA,"Aurelie, Perrine","Uniquement issu de Lotu jour"
2021-06-16,2021,"juin","Lotu",12:00:00,"F1","ridee","0-10",26,"E",NA,"Aurelie, Perrine","Uniquement issu de Lotu jour"
2021-06-16,2021,"juin","Lotu",15:00:00,"F1","ridee","0-10",26,"E",NA,"Aurelie, Perrine","Uniquement issu de Lotu jour"
2021-06-16,2021,"juin","Lotu",17:00:00,"F1","ridee","0-10",26,"E",NA,"Aurelie, Perrine","Uniquement issu de Lotu jour"
2021-06-16,2021,"juin","Petit Lotu",09:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Petit Lotu",12:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Petit Lotu",15:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Petit Lotu",17:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",09:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",12:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",15:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-06-16,2021,"juin","Saleccia",17:00:00,"F1","ridee","0-10",26,"E",NA,"Axel, Sophie","Uniquement issu de Saleccia jour"
2021-07-28,2021,"juillet","Fiume Santu",09:00:00,"F1","calme","0-10",26,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",12:00:00,"F1","calme","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Fiume Santu",17:00:00,"F2","ridee","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",09:00:00,"F1","calme","0-10",26,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",12:00:00,"F0","calme","10-25",NA,"N","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Lotu",17:00:00,"F0","calme","0-10",NA,"NO","SO","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",09:00:00,"F1","calme","0-10",26,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",12:00:00,"F1","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",15:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
2021-07-28,2021,"juillet","Petit Lotu",17:00:00,"F1","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",09:00:00,"F1","calme","0-10",27,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",12:00:00,"F0","calme","0-10",NA,"NO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",15:00:00,"F0","calme","0-10",NA,"SO","SE","Laurent, Alex",NA
2021-07-28,2021,"juillet","Saleccia",17:00:00,NA,NA,NA,NA,NA,NA,"Laurent, Alex",NA
