"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"personnes_plage"	"personnes_eau"	"pmt"	"vaches"	"observateurs"	"commentaires"	"commentaires_secteur"
2020-07-29	2020	"juillet"	29	"Lotu"	09:00:00	1	2	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Lotu"	12:00:00	148	98	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Lotu"	14:45:00	209	197	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Lotu"	16:45:00	119	81	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Saleccia"	09:00:00	27	9	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Saleccia"	12:00:00	364	440	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Saleccia"	14:00:00	368	427	NA	0	NA	NA	NA
2020-07-29	2020	"juillet"	29	"Saleccia"	16:00:00	387	432	NA	0	NA	NA	NA
2020-08-13	2020	"aout"	13	"Lotu"	09:00:00	9	10	NA	0	"Frank, Alex, Aurelie"	NA	NA
2020-08-13	2020	"aout"	13	"Lotu"	12:00:00	238	186	NA	0	"Frank, Alex, Aurelie"	NA	NA
2020-08-13	2020	"aout"	13	"Lotu"	14:45:00	316	266	NA	0	"Frank, Alex, Aurelie"	NA	NA
2020-08-13	2020	"aout"	13	"Lotu"	16:45:00	228	137	NA	0	"Frank, Alex, Aurelie"	NA	NA
2020-08-13	2020	"aout"	13	"Saleccia"	09:00:00	143	54	NA	0	"Sebastien, Amelie"	"2 personnes ont signale des dechers dans les dunes, infraction pietinements dunes et signalement eau verte"	NA
2020-08-13	2020	"aout"	13	"Saleccia"	12:00:00	639	301	NA	0	"Sebastien, Amelie"	NA	NA
2020-08-13	2020	"aout"	13	"Saleccia"	14:00:00	649	505	NA	0	"Sebastien, Amelie"	NA	NA
2020-08-13	2020	"aout"	13	"Saleccia"	16:00:00	576	438	NA	0	"Sebastien, Amelie"	NA	NA
2020-09-09	2020	"septembre"	9	"Lotu"	09:00:00	0	0	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Lotu"	12:00:00	133	53	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Lotu"	14:45:00	189	125	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Lotu"	16:45:00	141	38	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Saleccia"	09:00:00	3	1	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Saleccia"	12:00:00	258	94	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Saleccia"	14:00:00	380	139	NA	0	NA	NA	NA
2020-09-09	2020	"septembre"	9	"Saleccia"	16:00:00	301	102	NA	0	NA	NA	NA
2021-06-16	2021	"juin"	16	"Lotu"	09:00:00	11	0	0	15	"Aurelie, Perrine"	NA	NA
2021-06-16	2021	"juin"	16	"Lotu"	12:00:00	89	21	3	0	"Aurelie, Perrine"	"21 personnes dans l'eau (dont 3 PMT)"	NA
2021-06-16	2021	"juin"	16	"Lotu"	14:45:00	122	28	5	0	"Aurelie, Perrine"	"28 personnes dans l'eau (dont 5 PMT)"	NA
2021-06-16	2021	"juin"	16	"Lotu"	16:45:00	84	39	3	0	"Aurelie, Perrine"	"39 personnes dans l'eau (dont 3 PMT)"	NA
2021-06-16	2021	"juin"	16	"Saleccia"	09:00:00	5	0	0	0	"Axel, Sophie"	"RAS"	NA
2021-06-16	2021	"juin"	16	"Saleccia"	12:00:00	141	73	3	0	"Axel, Sophie"	"73 personnes dans l'eau dont 3 PMT"	NA
2021-06-16	2021	"juin"	16	"Saleccia"	14:00:00	181	81	4	0	"Axel, Sophie"	"81 personnes dans l'eau dont 4 PMT"	NA
2021-06-16	2021	"juin"	16	"Saleccia"	16:00:00	134	69	3	0	"Axel, Sophie"	"69 personnes dans l'eau dont 3 PMT"	NA
2021-07-28	2021	"juillet"	28	"Lotu"	09:00:00	6	13	1	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Lotu"	12:00:00	329	115	15	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Lotu"	14:45:00	370	185	31	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Lotu"	16:45:00	201	112	4	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	09:00:00	26	13	2	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	12:00:00	478	248	22	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	14:00:00	470	379	23	0	NA	NA	NA
2021-07-28	2021	"juillet"	28	"Saleccia"	16:00:00	462	420	9	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Lotu"	09:00:00	42	24	0	7	NA	NA	NA
2021-08-18	2021	"aout"	18	"Lotu"	12:00:00	501	145	9	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Lotu"	14:45:00	707	205	17	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Lotu"	16:45:00	535	110	12	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Saleccia"	09:00:00	7	0	0	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Saleccia"	12:00:00	504	186	16	0	NA	NA	NA
2021-08-18	2021	"aout"	18	"Saleccia"	14:00:00	710	245	12	0	NA	NA	NA
